repo	stars	language	id	name	version	min_herdr	platforms	path	description	url
paulbkim-dev/vim-herdr-navigation	74	Shell	vim-herdr-navigation	Vim Herdr Navigation	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Seamless Ctrl+h/j/k/l navigation across herdr panes and Vim/Neovim splits	https://github.com/paulbkim-dev/vim-herdr-navigation
osolmaz/ghzinga	71	Rust	dutifuldev.ghzinga	Ghzinga for Herdr	0.1.0	0.7.0	linux,macos	plugins/herdr/herdr-plugin.toml	Open GitHub issue and pull request links in a ghzinga side pane from Herdr.	https://github.com/osolmaz/ghzinga
thanhdat77/herdr-navigator	63	Rust	herdr-navigator	Herdr Navigator	0.3.5	0.7.3	linux,macos	herdr-plugin.toml	Jump to any Herdr workspace, agent, project, session, remote, directory, or action from one fuzzy navigator.	https://github.com/thanhdat77/herdr-navigator
yuk1ty/herdr-spreader	63	Rust	herdr-spreader	Spreader	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Apply tmuxinator-style project layouts from YAML	https://github.com/yuk1ty/herdr-spreader
lararosekelley/dotfiles	49	Shell	default-session	Default Session	0.2.0	0.7.5	linux,macos	content/.config/herdr/local-plugins/default-session/herdr-plugin.toml	Scaffold a default layout on startup, with tab/pane helpers.	https://github.com/lararosekelley/dotfiles
lmilojevicc/herdr-splits.nvim	43	Lua	herdr-splits	Herdr Splits	0.5.2	0.7.0	linux,macos	herdr-plugin.toml	Seamless navigation and resizing between Herdr panes and Neovim splits	https://github.com/lmilojevicc/herdr-splits.nvim
iurysza/termscope	39	Python	termscope	Termscope	0.2.0	0.7.4	linux,macos	herdr-plugin.toml	Open files and links already visible on your terminal screen.	https://github.com/iurysza/termscope
NathanFlurry/herdr-plugin-jj-workspace	39	Rust	nathanflurry.jj-workspace	jj workspaces	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Create and remove Jujutsu (jj) workspaces as Herdr workspaces or tabs.	https://github.com/NathanFlurry/herdr-plugin-jj-workspace
alexarthurs/herdr-sidebar	31	Rust	herdr-sidebar	herdr-sidebar	0.6.1	0.7.0	linux,macos,windows	plugins/herdr-sidebar/herdr-plugin.toml	VS Code-style sidebar: file explorer + source control (with ✧ AI commit messages) in one herdr pane.	https://github.com/alexarthurs/herdr-sidebar
fkiene/llmtrim-herdr	30	PowerShell	llmtrim.proxy	llmtrim	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Transparent proxy that compresses LLM token usage, with a live savings badge and dashboard.	https://github.com/fkiene/llmtrim-herdr
rjyo/herdr-window-title-sync	30	JavaScript	rjyo.window-title-sync	Window Title Sync	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Sync the outer terminal title to the focused Herdr workspace, tab, and agent session.	https://github.com/rjyo/herdr-window-title-sync
0cv/herdr-mobile-relay	28	Go	herdr-mobile-relay.events	Herdr Mobile Relay	0.14.0	0.7.5	macos,linux	herdr-plugin.toml	Remote mobile control for Herdr: approve and monitor agents from your smartphone (Android/iOS) with an installable web app, push notifications, QR pairing, and per-computer Cloudflare tunnels	https://github.com/0cv/herdr-mobile-relay
iurysza/herdr-tab-smart-rename	28	TypeScript	tab-smart-rename	Smart Rename	0.1.1	0.7.0	linux,macos	herdr-plugin.toml	Context-aware names for Herdr workspaces and task tabs.	https://github.com/iurysza/herdr-tab-smart-rename
andrewchng/herdr-sessionizer	26	TypeScript	sessionizer	Sessionizer	0.7.2	0.7.4	macos,linux	herdr-plugin.toml	Inspired by ThePrimeagen's tmux-sessionizer: fuzzy pickers to open projects and Git worktrees into Herdr workspaces.	https://github.com/andrewchng/herdr-sessionizer
razajamil/herdr-plugin-workspace-manager	26	Rust	herdr-plugin-workspace-manager	Workspace Manager	0.6.0	0.7.5	linux,macos	herdr-plugin.toml	Declarative tab/pane layouts with per-workspace defaults applied automatically when a worktree is created.	https://github.com/razajamil/herdr-plugin-workspace-manager
JanTvrdik/herdr-command-palette	24	Shell	jt.command-palette	Command Palette (fzf)	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	An fzf command palette for herdr: pops up a fuzzy-searchable list of every action exposed by every installed plugin (via `herdr plugin action list`) and invokes the one you pick. The picker runs in an overlay pane so fzf gets a real TTY; the origin workspace's cwd is forwarded so context-aware actions resolve the right repo.	https://github.com/JanTvrdik/herdr-command-palette
fullerzz/herdr-plugin-sesh	22	Go	fullerzz.sesh	Sesh for Herdr	0.7.0	0.8.0	linux,macos	herdr-plugin.toml	Sesh-style smart workspace/session manager for Herdr	https://github.com/fullerzz/herdr-plugin-sesh
madarco/agentbox-herdr-plugin	22	Shell	agentbox	AgentBox	0.2.0	0.7.0	linux,macos,windows	herdr-plugin.toml	AgentBox: live boxes overlay, shortcuts, and Ctrl+click to open a box web app.	https://github.com/madarco/agentbox-herdr-plugin
qu8n/herdr-automatic-rename	19	Shell	herdr-automatic-rename	Herdr Automatic Rename	0.5.0	0.7.1	linux,macos	herdr-plugin.toml	Auto-name tabs after the foreground program and/or prefix workspaces, tabs, and agents with their 1-9 jump-key number. Each feature toggles via config.sh.	https://github.com/qu8n/herdr-automatic-rename
Tyru5/herdr-floax	19	Rust	herdr-floax	herdr-floax	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Toggle a floating scratch shell (sized popup) for the current workspace, à la tmux-floax.	https://github.com/Tyru5/herdr-floax
tdi/herdr-worktree-setup	18	JavaScript	tdi.worktree-setup	Worktree Setup	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Run per-project setup steps when a worktree is created	https://github.com/tdi/herdr-worktree-setup
nelsonPires5/herdr-board	17	Rust	herdr-board	Herdr Board	0.12.0	0.8.0	linux,macos	herdr-plugin.toml	Kanban board for AI coding agents: cards are prompts, columns are pipeline stages; moving a card dispatches an agent into a herdr pane.	https://github.com/nelsonPires5/herdr-board
ragamo/herdr-flock	17	Rust	flock.farm	Flock	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Visualize your AI coding agents as pixel-art sheep on a top-down farm	https://github.com/ragamo/herdr-flock
caioniehues/herdmates	16	Rust	caioniehues.herdmates	Herdmates	2.2.0	0.7.4	linux,macos	herdr-plugin.toml	Claude Code agent teams, native in herdr — teammux shim (takeover default), mission-control board, focus pane, hook-driven recorder (legacy v1 orchestration still included, frozen)	https://github.com/caioniehues/herdmates
ImArtisann/zed-herdr	16	TypeScript	artisann.zed-herdr	Zed Workspace Sync	0.1.0	0.7.3	macos,linux	herdr-plugin.toml	Automatically keeps your active HerdR workspace in sync with your existing Zed session.	https://github.com/ImArtisann/zed-herdr
rmarganti/herdr-pluck	16	Rust	rmarganti.herdr-pluck	Herdr Pluck	0.3.1	0.7.4	linux,macos	herdr-plugin.toml	Inline keyboard hints for copying visible tokens or opening URLs from Herdr panes	https://github.com/rmarganti/herdr-pluck
senna-lang/herdr-agent-usage	16	Go	usagebar	Agent Usage	0.5.7	0.7.4	macos,linux	herdr-plugin.toml	Sidebar context meters, provider limit windows, and rate-limit toasts for Claude, Codex, OpenCode Go, OMP, Pi coding agent, and Grok	https://github.com/senna-lang/herdr-agent-usage
natori-hrj/herdr-lazy	15	Rust	herdr-lazy	herdr-lazy	0.24.0	0.7.5	linux,macos,windows	herdr-plugin.toml	Be lazy: a curated, batteries-included plugin distro & manager for herdr	https://github.com/natori-hrj/herdr-lazy
ogulcancelik/herdr-plugin-github-start	15	JavaScript	ogulcancelik.github-start	GitHub Start	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Start a Herdr tab from a GitHub issue, PR, or discussion.	https://github.com/ogulcancelik/herdr-plugin-github-start
third774/herdr-last-workspace	15	Rust	third774.last-workspace	Last Workspace	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Toggle between the current and previously focused Herdr workspace.	https://github.com/third774/herdr-last-workspace
wyattjoh/herdr-plugin-gh-pr	15	TypeScript	gh-pr	GitHub PR Status	0.4.0	0.7.4	macos,linux	herdr-plugin.toml	Labels the focused agent pane's sidebar row with its branch's GitHub PR status.	https://github.com/wyattjoh/herdr-plugin-gh-pr
aimdevlee/herdr-nvim-nav	14	Lua	herdr-nvim-nav	Vim Nav	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Ctrl+h/j/k/l across herdr panes and Neovim splits, without a per-key process for detection	https://github.com/aimdevlee/herdr-nvim-nav
Davidcreador/herdr-token-dashboard	14	Go	dave.token-dashboard	Token Dashboard	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Live token spend dashboard + cost notifications for Herdr agent panes	https://github.com/Davidcreador/herdr-token-dashboard
Crokily/herdr-lazygit	13	Shell	herdr-lazygit	herdr-lazygit	0.3.0	0.7.0	linux,macos	herdr-plugin.toml	lazygit in a herdr split pane, with AI-assisted commit messages via custom commands.	https://github.com/Crokily/herdr-lazygit
ribbons-digital/pi-herd	13	TypeScript	ribbons-digital.pi-herd	pi-herd	0.1.0	0.7.1	linux,macos	herdr-plugin.toml	Visible Pi session orchestration with Herdr panes and git worktrees.	https://github.com/ribbons-digital/pi-herd
speardragon/herdr-yazi	13	Shell	ray.file-explorer	File Explorer	0.1.0	0.7.0	macos	herdr-plugin.toml	Open Yazi (terminal file manager) in a herdr pane	https://github.com/speardragon/herdr-yazi
tomasvarga/herdr-pickr	12	Shell	pickr	herdr-pickr	0.1.2	0.7.0	macos,linux	herdr-plugin.toml	Ctrl+click a PR/MR link → pick a reviewer (tuicr · hunk · diff · browser), with an optional AI first pass.	https://github.com/tomasvarga/herdr-pickr
edmundmiller/herdr-plugin-hunk	11	Python	hunk.diff	Hunk Diff	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Open Hunk diffs from Herdr in a split pane or tab.	https://github.com/edmundmiller/herdr-plugin-hunk
jeffarese/herdr-bar	11	Python	herdr-bar	Bar	0.2.1	0.7.4	linux,macos	herdr-plugin.toml	Cmd+K command bar: fuzzy-jump to any tab or agent	https://github.com/jeffarese/herdr-bar
lmilojevicc/seshagy	11	Go	seshagy	seshagy	0.6.0	0.7.0	linux,macos	herdr-plugin.toml	Agent-aware terminal dashboard for tmux and herdr.	https://github.com/lmilojevicc/seshagy
ntindle/herdr-resurrect	11	JavaScript	ntindle.herdr-resurrect	herdr-resurrect	0.2.0	0.7.0	linux,macos,windows	herdr-plugin.toml	tmux-resurrect for herdr: snapshot the whole herd (workspaces, tabs, panes, cwd, running programs, agents) and bring it back after a crash or reboot.	https://github.com/ntindle/herdr-resurrect
plannotator/herdr-plannotator	11	TypeScript	official.plannotator	Plannotator	0.1.0	0.7.5	linux,macos	herdr-plugin.toml	Review Plannotator plans and changes inside Herdr.	https://github.com/plannotator/herdr-plannotator
taxueseek/session-digger	11	Python	taxueseek.session-digger	Session Digger	0.9.12	0.7.0	linux,macos	herdr-plugin.toml	跨环境会话挖掘 v0.9.6：搜索/模糊检索/统计/趋势/本机使用回顾(reflect)/技能差距。stdlib Python，路径自适应。	https://github.com/taxueseek/session-digger
tdi/herdr-worktree-from-linear	11	JavaScript	tdi.worktree-from-linear	Worktree from Linear	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Create a git worktree from a Linear issue and open it as a workspace	https://github.com/tdi/herdr-worktree-from-linear
ChmaraX/herdr-nvim	10	Rust	chmarax.herdr-nvim	herdr-nvim	0.1.1	0.7.4	macos,linux	herdr-plugin.toml	Full-height nvim sidebar with agent annotations: toggle with one key, comment code, send to any agent.	https://github.com/ChmaraX/herdr-nvim
Matovidlo/herdr-pr-tracker	10	Shell	martinv.pr-tracker	Claude PR Tracker	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Tracks the GitHub PR each Claude Code session produces, with state + actions, in its own herdr window.	https://github.com/Matovidlo/herdr-pr-tracker
yankewei/herdr-focus-notify	10	Rust	herdr-focus-notify	Herdr Focus Notify	0.3.8	0.7.5	macos	herdr-plugin.toml	Clickable desktop notifications that focus the relevant Herdr agent pane.	https://github.com/yankewei/herdr-focus-notify
0xGosu/herdr-auto-pilot	9	Go	herd-auto-prompter	Herd Auto Prompter	0.5.32	0.7.0	linux,macos	herdr-plugin.toml	Monitors every agent in the herd, auto-supplies the next prompt or response when confident, and escalates to you when not — learned from your own past decisions.	https://github.com/0xGosu/herdr-auto-pilot
benkraus/herdr-plugin-mobile-relay	9	TypeScript	herdr.control	Herdr Control	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	T3 Code-style web control plane for durable Herdr sessions, served over Tailscale	https://github.com/benkraus/herdr-plugin-mobile-relay
den-tanui/herdr-zoxide	9	Shell	herdr-zoxide	Zoxide Navigator	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Browse zoxide directories with fzf preview — open as workspace, tab, or split. Config: $(herdr plugin config-dir herdr-zoxide)/config.toml	https://github.com/den-tanui/herdr-zoxide
DIodide/herdr-telemetry	9	Go	herdr-telemetry	Herdr Telemetry	0.3.0	0.7.0	linux,macos	herdr-plugin.toml	Stream workspace and agent telemetry to your own endpoint	https://github.com/DIodide/herdr-telemetry
ezcorp-org/herdr-pc-ram-and-cpu-usage-overlay	9	Rust	ez-corp.space-usage	PC RAM & CPU Usage Overlay	1.9.0	0.7.5	linux,macos,windows	herdr-plugin.toml	CPU and RAM usage per space, grouped under the branch name.	https://github.com/ezcorp-org/herdr-pc-ram-and-cpu-usage-overlay
iviaxpow3r/herdr-session-parker	9	Python	herdr-session-parker	Herdr Session Parker	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Park and resume Herdr panes by remembering tab context, cwd, and supported agent session ids.	https://github.com/iviaxpow3r/herdr-session-parker
mrcndz/herdr-routines	8	Python	herdr-routines	Herdr Routines	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Run commands and agents on cron schedules — each firing opens a tab in a workspace, runs your command, and lets Herdr track the agent	https://github.com/mrcndz/herdr-routines
osamahbeig/herdr-pane-mover	8	JavaScript	osamahbeig.pane-mover	Pane Mover	0.2.0	0.7.0	macos,linux	herdr-plugin.toml	Clickable overlay menu to move, re-split, or swap the current pane across tabs and workspaces.	https://github.com/osamahbeig/herdr-pane-mover
second-state/vibetty	8	Rust	vibetty	Vibetty	0.4.1-rc.1	0.7.5	linux,macos	herdr-plugin.toml	Share a Herdr agent pane over MQTT. Trigger the `share` action to open a 1-row status bar below the focused pane that bridges it to remote clients.	https://github.com/second-state/vibetty
StructuPath/herdr-browser	8	JavaScript	structupath.browser	Browser	0.6.0	0.7.0	macos,linux	herdr-plugin.toml	Driveable browser pane: live screenshots, console output, and localhost link handling via agent-browser	https://github.com/StructuPath/herdr-browser
wyattjoh/herdr-plugin-renamer	8	Rust	herdr-plugin-renamer	Herdr Renamer	0.1.0	0.7.4	macos,linux	herdr-plugin.toml	Names panes, plus auto-generated worktree branches and workspaces, from the agent's first prompt via an on-device or Codex naming call.	https://github.com/wyattjoh/herdr-plugin-renamer
a2u/herdr-jira	7	Rust	herdr-jira	herdr-jira	0.3.2	0.7.0	linux,macos	herdr-plugin.toml	Jira TUI in a herdr pane: JQL filters, search, status transitions, and one-key delegation of issues to running or newly started agents.	https://github.com/a2u/herdr-jira
AVGVSTVS96/herdr-drovr	7	JavaScript	drovr	drovr	0.4.8	0.7.4	linux,macos	herdr-plugin.toml	Drive your herd: move the focused tab or pane, live agents included, anywhere with an fzf picker.	https://github.com/AVGVSTVS96/herdr-drovr
beyondlex/herdr-recent-navigator	7	Rust	beyondlex.herdr-recent-navigator	Herdr Recent Navigator	0.6.2	0.7.4	macos,linux	herdr-plugin.toml	Recent workspaces, tabs, panes, and AI agents switcher for Herdr.	https://github.com/beyondlex/herdr-recent-navigator
dcolinmorgan/herdr-push	7	Shell	herdr.push	Herdr Push	0.2.0	0.7.0	macos,linux	herdr-plugin.toml	Push agent status to a remote dashboard for mobile monitoring and one-tap approval	https://github.com/dcolinmorgan/herdr-push
dwarvesf/herdr-quicklook	7	Shell	herdr-quicklook	herdr-quicklook	0.7.0	0.7.0	linux,macos	herdr-plugin.toml	Quick Look for herdr: preview clipboard paths, Ctrl-click pane tokens, follow agent suggestions, or escalate into the file viewer.	https://github.com/dwarvesf/herdr-quicklook
ezcorp-org/herdr-git-status	7	Rust	ez-corp.git-status	Git Status	1.4.1	0.7.5	linux,macos	herdr-plugin.toml	Git working-tree status (staged/modified/untracked, ✓ when clean) per space.	https://github.com/ezcorp-org/herdr-git-status
luminexord/herdres	7	Python	luminexord.herdres	Herdres	0.7.0rc4	0.7.0	linux	herdr-plugin.toml	Telegram interface for monitoring and messaging Herdr coding agents	https://github.com/luminexord/herdres
miiraheart/herdr-beads	7	Rust	herdr-beads	herdr-beads	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	A beads (bd) board for herdr: List / Table / Kanban over your bd issues, docked or floating.	https://github.com/miiraheart/herdr-beads
mo-arvan/herdr-claude-auto-retry	7	JavaScript	claude-auto-retry	Claude Auto Retry	1.0.0	0.7.0	linux,macos	herdr-plugin.toml	Wait out Anthropic rate limits and auto-resume Claude Code panes, herdr-native (no tmux, no shell wrapper).	https://github.com/mo-arvan/herdr-claude-auto-retry
Resetnak/herdr-logbook	7	Go	herdr-logbook	Herdr Logbook	0.0.8	0.7.0	linux,macos,windows	herdr-plugin.toml	Project-aware, local Markdown working memory for Herdr.	https://github.com/Resetnak/herdr-logbook
sohanemon/herdr-helpr	7	TypeScript	herdr-helpr	Herdr Helpr	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	A swiss-army knife of herdr helpers: create/rename workspaces and tabs, switch workspaces, close other tabs/panes, toggle zoom, and more.	https://github.com/sohanemon/herdr-helpr
aorumbayev/herdr-workflows	6	TypeScript	herdr-workflows	herdr-workflows	0.7.0	0.8.0	linux,macos	herdr-plugin.toml	Linear YAML workflow runner for herdr panes	https://github.com/aorumbayev/herdr-workflows
dot/herdr-terminal-notifier	6	Shell	dot.terminal-notifier	terminal-notifier notifications	0.1.0	0.7.0	macos	herdr-plugin.toml	Customizable macOS notifications for herdr agent state changes via terminal-notifier	https://github.com/dot/herdr-terminal-notifier
JacquesvanWyk/herdr-linear	6	Shell	herdr-linear	herdr-linear	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	fzf-driven Linear panel in a herdr pane: search issues, drill into projects, create issues, change status.	https://github.com/JacquesvanWyk/herdr-linear
joelhooks/herdr-pings	6	TypeScript	herdr-pings	Herdr Pings	0.2.0	0.7.4	macos,linux	herdr-plugin.toml	Turn-level wake events and live scoreboard metadata for agents in herdr panes.	https://github.com/joelhooks/herdr-pings
makyinmars/herdr-context.nvim	6	Lua	herdr-context	Herdr Context	0.4.1	0.7.5	linux,macos,windows	herdr-plugin.toml	See live Herdr agents and stage structured Neovim context without submitting it	https://github.com/makyinmars/herdr-context.nvim
neon-solutions/neon-herdr	6	TypeScript	neon.herdr	Neon	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Manage Neon projects, branches, computes, and connections from Herdr.	https://github.com/neon-solutions/neon-herdr
ryonakae/shepherd	6	TypeScript	shepherd.agents	Shepherd Agents	0.5.0	0.7.0	linux,macos,windows	packages/shepherd-herdr-plugin/herdr-plugin.toml	Read compact Herdr agent history through Shepherd.	https://github.com/ryonakae/shepherd
sanirudh17/herdr-agent-handoff	6	JavaScript	agent-handoff	Agent Handoff	0.1.0	0.7.5	linux,macos,windows	herdr-plugin.toml	Transfer an in-progress session to a fresh session of another installed agent	https://github.com/sanirudh17/herdr-agent-handoff
speardragon/herdr-plugin-manager	6	Shell	ray.plugin-manager	Plugin Manager	0.1.0	0.7.4	macos,linux	herdr-plugin.toml	Manage herdr plugins from a popup: list, install, update, enable/disable, uninstall, browse the marketplace, open repo in browser, edit plugins.json	https://github.com/speardragon/herdr-plugin-manager
tdi/herdr-worktree-from-pr	6	JavaScript	tdi.worktree-from-pr	Worktree from PR	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Create a git worktree from a GitHub PR and open it as a workspace	https://github.com/tdi/herdr-worktree-from-pr
vercel-labs/herdr-vercel-sandbox-plugin	6	JavaScript	vercel.sandbox	Vercel Sandbox	0.6.0	0.7.5	linux,macos	herdr-plugin.toml	Run one coding-agent CLI per persistent Vercel Sandbox.	https://github.com/vercel-labs/herdr-vercel-sandbox-plugin
zom-2018/herdr-ntfy-notify	6	JavaScript	zom-2018.herdr-ntfy-notify	Herdr ntfy Notification Plugin	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Send ntfy pushes when Herdr agents finish or need action.	https://github.com/zom-2018/herdr-ntfy-notify
aarsh21/herdr-tab-title	5	Rust	aarsh21.tab-title	Tab Title	0.1.6	0.7.3	linux,macos	herdr-plugin.toml	Automatic tmux-like Herdr tab titles from the focused pane's process or directory	https://github.com/aarsh21/herdr-tab-title
alexarthurs/herdr-notes	5	Rust	herdr-notes	herdr-notes	0.1.1	0.7.0	linux,macos,windows	herdr-plugin.toml	Persistent markdown notes pane: one scrollable note with preview/edit, autosaved across restarts.	https://github.com/alexarthurs/herdr-notes
devskale/herdr-flist	5	Python	herdr-flist	Filelist Row	0.4.1	0.7.0	linux,macos	herdr-plugin.toml	A filelist row that follows the focused pane's cwd — locally or over SSH.	https://github.com/devskale/herdr-flist
douglascorrea/herdr-agent-inbox	5	Python	herdr-agent-inbox	herdr-agent-inbox	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Inbox for agents: session titles, settle/mark-unread ordering, runtimes, workspace rollups.	https://github.com/douglascorrea/herdr-agent-inbox
freethinkel/herdr-plugin-git-worktree-hooks	5	JavaScript	freethinkel.worktree-hooks	Worktree Hooks	1.0.0	0.7.0	macos,linux	herdr-plugin.toml	Run shell commands when a git worktree is created/removed, driven by ONE YAML config for all projects. Config lives outside any repo.	https://github.com/freethinkel/herdr-plugin-git-worktree-hooks
horn553/herdr-ntfy	5	Shell	horn553.herdr-ntfy	Herdr ntfy	0.1.3	0.7.0	linux,macos	herdr-plugin.toml	Send ntfy notifications when Herdr agents finish, become idle after working, or get blocked.	https://github.com/horn553/herdr-ntfy
hotchpotch/herdr-tiny-fingers	5	Rust	hotchpotch.herdr-tiny-fingers	herdr-tiny-fingers	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	tmux-fingers style visible-screen copy hints for Herdr	https://github.com/hotchpotch/herdr-tiny-fingers
KokiKono/herdr-kanban	5	Rust	kokikono.herdr-kanban	herdr-kanban	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Terminal Kanban board that links tasks to herdr tabs, persisted in SQLite	https://github.com/KokiKono/herdr-kanban
LoneExile/merino	5	Go	herdr.merino	Herdr Merino	0.4.0	0.8.0	macos,linux	herdr-plugin.toml	Remote tunnel dashboard for Herdr agents	https://github.com/LoneExile/merino
maro114510/herdr-toggle-popup	5	Go	maro114510.toggle-popup	Toggle Popup	0.4.1	0.7.0	macos,linux	herdr-plugin.toml	One-keybinding overlay popup shell plugin for the Herdr terminal	https://github.com/maro114510/herdr-toggle-popup
moneycaringcoder/herdr-tether	5	Rust	moneycaringcoder.tether	Tether for Herdr	0.7.0	0.8.0	linux,macos	herdr-plugin.toml	Keep local and remote terminal workloads running after their Herdr view closes.	https://github.com/moneycaringcoder/herdr-tether
natori-hrj/herdr-hail	5	TypeScript	hail	Herdr Hail	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Two-way Slack & Discord bridge: get pinged when an agent blocks, reply to unblock. No tunnel required.	https://github.com/natori-hrj/herdr-hail
ramarivera/herdr-palette	5	Rust	ramarivera.palette	Herdr Palette	0.1.10	0.7.0	linux,macos	herdr-plugin.toml	A Raycast/Linear-style fuzzy command palette for Herdr.	https://github.com/ramarivera/herdr-palette
0x5c0f/herdr-insight	4	Rust	herdr-insight	Herdr Insight	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Agent status timeline pane for herdr	https://github.com/0x5c0f/herdr-insight
afogel/shepherdr	4	Rust	afogel.shepherdr	shepherdr	0.1.0	0.7.0	macos	herdr-plugin.toml	Shepherd delegated coding agents into visible, auditable herdr panes you can watch, resume, and take over	https://github.com/afogel/shepherdr
AkashJana18/herdr-scratch	4	Rust	herdr.scratch	Scratch	1.0.1	0.7.4	linux,macos	herdr-plugin.toml	Persistent named scratchpads for Herdr	https://github.com/AkashJana18/herdr-scratch
bcihanc/herdr-claude-session-title	4	Shell	bcihanc.claude-session-title	Claude Session Title	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Reports the Claude Code session title (/rename or auto summary) as the herdr pane metadata title	https://github.com/bcihanc/herdr-claude-session-title
crafts69guy/herdr-switchboard	4	Rust	switchboard	Switchboard	1.0.0	0.7.4	macos,linux	herdr-plugin.toml	A colorful Herdr command palette with searchable Projects, Commands, and Ports pickers plus Git, Clone, Settings, Changelog, and Update utilities.	https://github.com/crafts69guy/herdr-switchboard
enekos/herdr-quick-actions	4	Shell	es.quick-actions	Herdr Quick Actions	0.2.0	0.8.0	linux,macos	herdr-plugin.toml	fzf picker for herdr's native tab/pane/workspace/worktree/agent actions plus live jump targets (tabs, workspaces, agents, worktrees) — each row shows its real keybinding, and the list is ranked by how often you pick it.	https://github.com/enekos/herdr-quick-actions
EzraCerpac/jj-waltz	4	Rust	ezracerpac.jj-waltz	jj-waltz	0.1.0	0.7.0	linux,macos	plugins/herdr/herdr-plugin.toml	Create and remove jj-waltz workspaces from Herdr.	https://github.com/EzraCerpac/jj-waltz
